# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.library.entities.serializer.save.entities.ms,1778353275078000000,1778353335016000000,0
workspaceModel.sync.entities.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.instances.count,1778353275078000000,1778353335016000000,62
jps.modifiable.module.model.bridge.renaming.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1778353275078000000,1778353335016000000,0
jps.artifact.entities.serializer.load.entities.ms,1778353275078000000,1778353335016000000,0
jps.module.iml.entities.serializer.save.entities.ms,1778353275078000000,1778353335016000000,0
jps.global.handle.before.change.events.ms,1778353275078000000,1778353335016000000,0
workspaceModel.moduleBridge.update.option.ms,1778353275078000000,1778353335016000000,0
jps.artifact.entities.serializer.save.entities.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1778353275078000000,1778353335016000000,0
workspaceModel.do.save.caches.ms,1778353275078000000,1778353335016000000,88
jps.load.project.to.empty.storage.ms,1778353275078000000,1778353335016000000,5
workspaceModel.load.cache.from.file.ms,1778353275078000000,1778353335016000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1778353275078000000,1778353335016000000,0
jps.project.serializers.load.ms,1778353275078000000,1778353335016000000,3
jps.global.get.library.by.name.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1778353275078000000,1778353335016000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1778353275078000000,1778353335016000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1778353275078000000,1778353335016000000,5
